build_ms,context,e2e_est_ms,eff_bits_per_dim,method,nominal_bits,pre_rot_ms,pre_sk_ms,score_cosine,score_ms,score_rmse,timing_family,top1_match_pct,top5_match_pct,total_ms
0.586,32768,,4.125,turboquant,4,,,0.9755710363388062,1.028,0.0017592408694326878,steady_state_cached_compile,50.0,87.5,1.614
0.569,32768,,3.125,turboquant,3,,,0.9230338931083679,1.031,0.0032507507130503654,steady_state_cached_compile,12.5,50.0,1.6
0.55,32768,,2.125,turboquant,2,,,0.8031930923461914,1.026,0.005724271293729544,steady_state_cached_compile,12.5,25.0,1.576
286.78,32768,0.104,8.125,turboquant,8,0.018,0.018,0.9998250007629395,0.068,0.00014616025146096945,cold_build_triton_score,87.5,100.0,286.884
21.52,32768,0.1,4.125,turboquant,4,0.018,0.018,0.9755710363388062,0.065,0.0017592408694326878,cold_build_triton_score,50.0,87.5,21.621
6.626,32768,0.111,3.125,turboquant,3,0.023,0.023,0.9230339527130127,0.065,0.0032507507130503654,cold_build_triton_score,12.5,50.0,6.736
2.5,32768,0.111,2.125,turboquant,2,0.023,0.023,0.8031930923461914,0.065,0.005724271293729544,cold_build_triton_score,12.5,25.0,2.611
0.663,32768,0.104,8.125,turboquant,8,0.018,0.018,0.9998250007629395,0.068,0.00014616025146096945,steady_state_triton_score,87.5,100.0,0.768
0.586,32768,0.1,4.125,turboquant,4,0.018,0.018,0.9755710363388062,0.065,0.0017592408694326878,steady_state_triton_score,50.0,87.5,0.686
0.566,32768,0.1,3.125,turboquant,3,0.018,0.018,0.9230339527130127,0.065,0.0032507507130503654,steady_state_triton_score,12.5,50.0,0.667
0.551,32768,0.101,2.125,turboquant,2,0.018,0.018,0.8031930923461914,0.065,0.005724271293729544,steady_state_triton_score,12.5,25.0,0.652
324.513,32768,0.157,8.125,rotorquant,8,0.042,0.019,0.9997790455818176,0.096,0.00016420900647062808,cold_build_triton_score,87.5,100.0,324.67
56.927,32768,0.153,4.125,rotorquant,4,0.042,0.019,0.9755339622497559,0.092,0.0017609132919460535,cold_build_triton_score,50.0,87.5,57.08
43.073,32768,0.153,3.125,rotorquant,3,0.042,0.019,0.9229521155357361,0.092,0.0032529195304960012,cold_build_triton_score,12.5,62.5,43.226
40.105,32768,0.152,2.125,rotorquant,2,0.041,0.019,0.8027729988098145,0.092,0.005728744436055422,cold_build_triton_score,12.5,25.0,40.257
0.652,32768,0.157,8.125,rotorquant,8,0.042,0.019,0.9997790455818176,0.096,0.00016420900647062808,steady_state_triton_score,87.5,100.0,0.809
0.577,32768,0.153,4.125,rotorquant,4,0.041,0.019,0.9755339622497559,0.092,0.0017609132919460535,steady_state_triton_score,50.0,87.5,0.73
0.563,32768,0.152,3.125,rotorquant,3,0.041,0.019,0.9229521155357361,0.092,0.0032529195304960012,steady_state_triton_score,12.5,62.5,0.715
0.551,32768,0.152,2.125,rotorquant,2,0.041,0.019,0.8027729988098145,0.092,0.005728744436055422,steady_state_triton_score,12.5,25.0,0.703
